#version: ${plugin.version}
#If you change this file it will not be automatically updated after the next release.,
#item,material
MagentaAllium,allium
AzureBluet,azure_bluet
WhiteAzureBluet,azure_bluet
aBluet,azure_bluet
Azureb,azure_bluet
houstonia,azure_bluet
RedTulip,red_tulip
TulipRed,red_tulip
rTulip,red_tulip
Tulipr,red_tulip
OrangeTulip,orange_tulip
TulipOrange,orange_tulip
oTulip,orange_tulip
Tulipo,orange_tulip
WhiteTulip,white_tulip
TulipWhite,white_tulip
wTulip,white_tulip
Tulipw,white_tulip
PinkTulip,pink_tulip
TulipPink,pink_tulip
pTulip,pink_tulip
Tulipp,pink_tulip
Oxeye,oxeye_daisy
Daisy,oxeye_daisy
OxeyeDaisy,oxeye_daisy
DaisyOxeye,oxeye_daisy
MoonDaisy,oxeye_daisy
DaisyMoon,oxeye_daisy
LightGrayOxeye,oxeye_daisy
lGrayOxeye,oxeye_daisy
LightGreyOxeye,oxeye_daisy
lGreyOxeye,oxeye_daisy
BrownMushroom,brown_mushroom
Brownshroom,brown_mushroom
Brownmush,brown_mushroom
bMushroom,brown_mushroom
bshroom,brown_mushroom
bmush,brown_mushroom
RedMushroom,red_mushroom
Redshroom,red_mushroom
Redmush,red_mushroom
rMushroom,red_mushroom
rshroom,red_mushroom
rmush,red_mushroom
GoldBlock,gold_block
BlockGold,gold_block
gBlock,gold_block
Blockg,gold_block
IronBlock,iron_block
SteelBlock,iron_block
BlockIron,iron_block
BlockSteel,iron_block
iBlock,iron_block
stBlock,iron_block
Blocki,iron_block
Blockst,iron_block
StoneDoubleStep,stone_slab
StonedStep,stone_slab
sDoubleStep,stone_slab
sdStep,stone_slab
DoublestoneStep,stone_slab
dstoneStep,stone_slab
DoublesStep,stone_slab
DoubleStep,stone_slab
dStep,stone_slab
StoneDoubleSlab,stone_slab
StonedSlab,stone_slab
sDoubleSlab,stone_slab
sdSlab,stone_slab
DoublestoneSlab,stone_slab
dstoneSlab,stone_slab
DoublesSlab,stone_slab
DoubleSlab,stone_slab
dSlab,stone_slab
StoneDoubleHalfBlock,stone_slab
StonedHalfBlock,stone_slab
sDoubleHalfBlock,stone_slab
sdHalfBlock,stone_slab
DoublestoneHalfBlock,stone_slab
dstoneHalfBlock,stone_slab
DoublesHalfBlock,stone_slab
DoubleHalfBlock,stone_slab
dHalfBlock,stone_slab
SandstoneDoubleStep,sandstone_slab
SandstonedStep,sandstone_slab
sstoneDoubleStep,sandstone_slab
sstonedStep,sandstone_slab
ssDoubleStep,sandstone_slab
ssdStep,sandstone_slab
DoubleSandstoneStep,sandstone_slab
dSandstoneStep,sandstone_slab
DoublesstoneStep,sandstone_slab
dsstoneStep,sandstone_slab
DoublessStep,sandstone_slab
dsStep,sandstone_slab
SandstoneDoubleSlab,sandstone_slab
SandstonedSlab,sandstone_slab
sstoneDoubleSlab,sandstone_slab
sstonedSlab,sandstone_slab
ssDoubleSlab,sandstone_slab
ssdSlab,sandstone_slab
DoubleSandstoneSlab,sandstone_slab
dSandstoneSlab,sandstone_slab
DoublesstoneSlab,sandstone_slab
dsstoneSlab,sandstone_slab
DoublessSlab,sandstone_slab
dsSlab,sandstone_slab
SandstoneDoubleHalfBlock,sandstone_slab
SandstonedHalfBlock,sandstone_slab
sstoneDoubleHalfBlock,sandstone_slab
sstonedHalfBlock,sandstone_slab
ssDoubleHalfBlock,sandstone_slab
ssdHalfBlock,sandstone_slab
DoubleSandstoneHalfBlock,sandstone_slab
dSandstoneHalfBlock,sandstone_slab
DoublesstoneHalfBlock,sandstone_slab
dsstoneHalfBlock,sandstone_slab
DoublessHalfBlock,sandstone_slab
dssHalfBlock,sandstone_slab
PlankstoneDoubleStep,petrified_oak_slab
WoodenstoneDoubleStep,petrified_oak_slab
WoodenstonedStep,petrified_oak_slab
woodstoneDoubleStep,petrified_oak_slab
woodstonedStep,petrified_oak_slab
wstoneDoubleStep,petrified_oak_slab
wstonedStep,petrified_oak_slab
DoubleWoodenstoneStep,petrified_oak_slab
dWoodenstoneStep,petrified_oak_slab
DoublewoodstoneStep,petrified_oak_slab
dwoodstoneStep,petrified_oak_slab
DoublewstoneStep,petrified_oak_slab
dwstoneStep,petrified_oak_slab
WoodenstoneDoubleSlab,petrified_oak_slab
WoodenstonedSlab,petrified_oak_slab
woodstoneDoubleSlab,petrified_oak_slab
woodstonedSlab,petrified_oak_slab
wstoneDoubleSlab,petrified_oak_slab
wstonedSlab,petrified_oak_slab
DoubleWoodenstoneSlab,petrified_oak_slab
dWoodenstoneSlab,petrified_oak_slab
DoublewoodstoneSlab,petrified_oak_slab
dwoodstoneSlab,petrified_oak_slab
DoublewstoneSlab,petrified_oak_slab
dwstoneSlab,petrified_oak_slab
WoodenstoneDoubleHalfBlock,petrified_oak_slab
WoodenstonedHalfBlock,petrified_oak_slab
woodstoneDoubleHalfBlock,petrified_oak_slab
woodstonedHalfBlock,petrified_oak_slab
wstoneDoubleHalfBlock,petrified_oak_slab
wstonedHalfBlock,petrified_oak_slab
DoubleWoodenstoneHalfBlock,petrified_oak_slab
dWoodenstoneHalfBlock,petrified_oak_slab
DoublewoodstoneHalfBlock,petrified_oak_slab
dwoodstoneHalfBlock,petrified_oak_slab
DoublewstoneHalfBlock,petrified_oak_slab
dwstoneHalfBlock,petrified_oak_slab
CobblestoneDoubleStep,cobblestone_slab
CobblestonedStep,cobblestone_slab
CobbleDoubleStep,cobblestone_slab
CobbledStep,cobblestone_slab
cstoneDoubleStep,cobblestone_slab
cstonedStep,cobblestone_slab
csDoubleStep,cobblestone_slab
csdStep,cobblestone_slab
DoubleCobblestoneStep,cobblestone_slab
dCobblestoneStep,cobblestone_slab
DoubleCobbleStep,cobblestone_slab
dCobbleStep,cobblestone_slab
DoublecstoneStep,cobblestone_slab
dcstoneStep,cobblestone_slab
DoublecsStep,cobblestone_slab
dcsStep,cobblestone_slab
CobblestoneDoubleSlab,cobblestone_slab
CobblestonedSlab,cobblestone_slab
CobbleDoubleSlab,cobblestone_slab
CobbledSlab,cobblestone_slab
cstoneDoubleSlab,cobblestone_slab
cstonedSlab,cobblestone_slab
csDoubleSlab,cobblestone_slab
csdSlab,cobblestone_slab
DoubleCobblestoneSlab,cobblestone_slab
dCobblestoneSlab,cobblestone_slab
DoubleCobbleSlab,cobblestone_slab
dCobbleSlab,cobblestone_slab
DoublecstoneSlab,cobblestone_slab
dcstoneSlab,cobblestone_slab
DoublecsSlab,cobblestone_slab
dcsSlab,cobblestone_slab
CobblestoneDoubleHalfBlock,cobblestone_slab
CobblestonedHalfBlock,cobblestone_slab
CobbleDoubleHalfBlock,cobblestone_slab
CobbledHalfBlock,cobblestone_slab
cstoneDoubleHalfBlock,cobblestone_slab
cstonedHalfBlock,cobblestone_slab
csDoubleHalfBlock,cobblestone_slab
csdHalfBlock,cobblestone_slab
DoubleCobblestoneHalfBlock,cobblestone_slab
dCobblestoneHalfBlock,cobblestone_slab
DoubleCobbleHalfBlock,cobblestone_slab
dCobbleHalfBlock,cobblestone_slab
DoublecstoneHalfBlock,cobblestone_slab
dcstoneHalfBlock,cobblestone_slab
DoublecsHalfBlock,cobblestone_slab
dcsHalfBlock,cobblestone_slab
BrickDoubleStep,brick_slab
BrickdStep,brick_slab
bDoubleStep,brick_slab
bdStep,brick_slab
BrickDoubleSlab,brick_slab
BrickdSlab,brick_slab
bDoubleSlab,brick_slab
bdSlab,brick_slab
DoubleBrickStep,brick_slab
dBrickStep,brick_slab
DoublebStep,brick_slab
dbStep,brick_slab
DoubleBrickSlab,brick_slab
dBrickSlab,brick_slab
DoublebSlab,brick_slab
dbSlab,brick_slab
BrickDoubleHalfBlock,brick_slab
  dHalfBlock,brick_slab
bDoubleHalfBlock,brick_slab
bdHalfBlock,brick_slab
DoubleBrickHalfBlock,brick_slab
dBrickHalfBlock,brick_slab
DoublebHalfBlock,brick_slab
dbHalfBlock,brick_slab
StoneBrickDoubleStep,stone_brick_slab
StoneBrickdStep,stone_brick_slab
StonebDoubleStep,stone_brick_slab
StonebdStep,stone_brick_slab
sBrickDoubleStep,stone_brick_slab
sBrickdStep,stone_brick_slab
sbDoubleStep,stone_brick_slab
sbdStep,stone_brick_slab
StoneBrickDoubleSlab,stone_brick_slab
StoneBrickdSlab,stone_brick_slab
StonebDoubleSlab,stone_brick_slab
StonebdSlab,stone_brick_slab
sBrickDoubleSlab,stone_brick_slab
sBrickdSlab,stone_brick_slab
sbDoubleSlab,stone_brick_slab
sbdSlab,stone_brick_slab
DoublestoneBrickStep,stone_brick_slab
dstoneBrickStep,stone_brick_slab
DoublestonebStep,stone_brick_slab
dstonebStep,stone_brick_slab
DoublesBrickStep,stone_brick_slab
dsBrickStep,stone_brick_slab
DoublesbStep,stone_brick_slab
dsbStep,stone_brick_slab
DoublestoneBrickSlab,stone_brick_slab
dstoneBrickSlab,stone_brick_slab
DoublestonebSlab,stone_brick_slab
dstonebSlab,stone_brick_slab
DoublesBrickSlab,stone_brick_slab
dsBrickdSlab,stone_brick_slab
DoublesbSlab,stone_brick_slab
dsbSlab,stone_brick_slab
StoneBrickDoubleHalfBlock,stone_brick_slab
StoneBrickdHalfBlock,stone_brick_slab
StonebDoubleHalfBlock,stone_brick_slab
StonebdHalfBlock,stone_brick_slab
sBrickDoubleHalfBlock,stone_brick_slab
sBrickdHalfBlock,stone_brick_slab
sbDoubleHalfBlock,stone_brick_slab
sbdHalfBlock,stone_brick_slab
DoublestoneBrickHalfBlock,stone_brick_slab
dstoneBrickHalfBlock,stone_brick_slab
DoublestonebHalfBlock,stone_brick_slab
dstonebHalfBlock,stone_brick_slab
DoublesBrickHalfBlock,stone_brick_slab
dsBrickHalfBlock,stone_brick_slab
DoublesbHalfBlock,stone_brick_slab
dsbHalfBlock,stone_brick_slab
NetherBrickDoubleSlab,nether_brick_slab
HellBrickDoubleSlab,nether_brick_slab
nBrickDoubleSlab,nether_brick_slab
hBrickDoubleSlab,nether_brick_slab
NetherDoubleSlab,nether_brick_slab
HellDoubleSlab,nether_brick_slab
nbDoubleSlab,nether_brick_slab
hbDoubleSlab,nether_brick_slab
hDoubleSlab,nether_brick_slab
nDoubleSlab,nether_brick_slab
NetherBrickDoubleStep,nether_brick_slab
HellBrickDoubleStep,nether_brick_slab
nBrickDoubleStep,nether_brick_slab
hBrickDoubleStep,nether_brick_slab
NetherDoubleStep,nether_brick_slab
HellDoubleStep,nether_brick_slab
nbDoubleStep,nether_brick_slab
hbDoubleStep,nether_brick_slab
nDoubleStep,nether_brick_slab
hDoubleStep,nether_brick_slab
NetherBrickDoubleHalfBlock,nether_brick_slab
HellBrickDoubleHalfBlock,nether_brick_slab
nBrickDoubleHalfBlock,nether_brick_slab
hBrickDoubleHalfBlock,nether_brick_slab
NetherDoubleHalfBlock,nether_brick_slab
HellDoubleHalfBlock,nether_brick_slab
nbDoubleHalfBlock,nether_brick_slab
hbDoubleHalfBlock,nether_brick_slab
nDoubleHalfBlock,nether_brick_slab
hDoubleHalfBlock,nether_brick_slab
NetherBrickdSlab,nether_brick_slab
HellBrickdSlab,nether_brick_slab
nBrickdSlab,nether_brick_slab
hBrickdSlab,nether_brick_slab
NetherdSlab,nether_brick_slab
HelldSlab,nether_brick_slab
nbdSlab,nether_brick_slab
hbdSlab,nether_brick_slab
hdSlab,nether_brick_slab
ndSlab,nether_brick_slab
NetherBrickdStep,nether_brick_slab
HellBrickdStep,nether_brick_slab
nBrickdStep,nether_brick_slab
hBrickdStep,nether_brick_slab
NetherdStep,nether_brick_slab
HelldStep,nether_brick_slab
nbdStep,nether_brick_slab
hbdStep,nether_brick_slab
ndStep,nether_brick_slab
hdStep,nether_brick_slab
NetherBrickdHalfBlock,nether_brick_slab
HellBrickdHalfBlock,nether_brick_slab
nBrickdHalfBlock,nether_brick_slab
hBrickdHalfBlock,nether_brick_slab
NetherdHalfBlock,nether_brick_slab
HelldHalfBlock,nether_brick_slab
nbdHalfBlock,nether_brick_slab
hbdHalfBlock,nether_brick_slab
ndHalfBlock,nether_brick_slab
hdHalfBlock,nether_brick_slab
DoubleNetherBrickSlab,nether_brick_slab
DoubleHellBrickSlab,nether_brick_slab
DoublenBrickSlab,nether_brick_slab
DoublehBrickSlab,nether_brick_slab
DoubleNetherSlab,nether_brick_slab
DoubleHellSlab,nether_brick_slab
DoublenbSlab,nether_brick_slab
DoublehbSlab,nether_brick_slab
DoublehSlab,nether_brick_slab
DoublenSlab,nether_brick_slab
DoubleNetherBrickStep,nether_brick_slab
DoubleHellBrickStep,nether_brick_slab
DoublenBrickStep,nether_brick_slab
DoublehBrickStep,nether_brick_slab
DoubleNetherStep,nether_brick_slab
DoubleHellStep,nether_brick_slab
DoublenbStep,nether_brick_slab
DoublehbStep,nether_brick_slab
DoublenStep,nether_brick_slab
DoublehStep,nether_brick_slab
DoubleNetherBrickHalfBlock,nether_brick_slab
DoubleHellBrickHalfBlock,nether_brick_slab
DoublenBrickHalfBlock,nether_brick_slab
DoublehBrickHalfBlock,nether_brick_slab
DoubleNetherHalfBlock,nether_brick_slab
DoubleHellHalfBlock,nether_brick_slab
DoublenbHalfBlock,nether_brick_slab
DoublehbHalfBlock,nether_brick_slab
DoublenHalfBlock,nether_brick_slab
DoublehHalfBlock,nether_brick_slab
dNetherBrickSlab,nether_brick_slab
dHellBrickSlab,nether_brick_slab
dnBrickSlab,nether_brick_slab
dhBrickSlab,nether_brick_slab
dNetherSlab,nether_brick_slab
dHellSlab,nether_brick_slab
dnbSlab,nether_brick_slab
dhbSlab,nether_brick_slab
dhSlab,nether_brick_slab
dnSlab,nether_brick_slab
dNetherBrickStep,nether_brick_slab
dHellBrickStep,nether_brick_slab
dnBrickStep,nether_brick_slab
dhBrickStep,nether_brick_slab
dNetherStep,nether_brick_slab
dHellStep,nether_brick_slab
dnbStep,nether_brick_slab
dhbStep,nether_brick_slab
dnStep,nether_brick_slab
dhStep,nether_brick_slab
dNetherBrickHalfBlock,nether_brick_slab
dHellBrickHalfBlock,nether_brick_slab
dnBrickHalfBlock,nether_brick_slab
dhBrickHalfBlock,nether_brick_slab
dNetherHalfBlock,nether_brick_slab
dHellHalfBlock,nether_brick_slab
dnbHalfBlock,nether_brick_slab
dhbHalfBlock,nether_brick_slab
dnHalfBlock,nether_brick_slab
dhHalfBlock,nether_brick_slab
NetherQuartzDoubleStep,quartz_slab
HellQuartzDoubleStep,quartz_slab
DeathQuartzDoubleStep,quartz_slab
nQuartzDoubleStep,quartz_slab
hQuartzDoubleStep,quartz_slab
dQuartzDoubleStep,quartz_slab
QuartzDoubleStep,quartz_slab
nqDoubleStep,quartz_slab
hqDoubleStep,quartz_slab
dqDoubleStep,quartz_slab
qDoubleStep,quartz_slab
NetherQuartzDoubleSlab,quartz_slab
HellQuartzDoubleSlab,quartz_slab
DeathQuartzDoubleSlab,quartz_slab
nQuartzDoubleSlab,quartz_slab
hQuartzDoubleSlab,quartz_slab
dQuartzDoubleSlab,quartz_slab
QuartzDoubleSlab,quartz_slab
nqDoubleSlab,quartz_slab
hqDoubleSlab,quartz_slab
dqDoubleSlab,quartz_slab
qDoubleSlab,quartz_slab
NetherQuartzDoubleHalfBlock,quartz_slab
HellQuartzDoubleHalfBlock,quartz_slab
DeathQuartzDoubleHalfBlock,quartz_slab
nQuartzDoubleHalfBlock,quartz_slab
hQuartzDoubleHalfBlock,quartz_slab
dQuartzDoubleHalfBlock,quartz_slab
QuartzDoubleHalfBlock,quartz_slab
nqDoubleHalfBlock,quartz_slab
hqDoubleHalfBlock,quartz_slab
dqDoubleHalfBlock,quartz_slab
qDoubleHalfBlock,quartz_slab
NetherQuartzdSlab,quartz_slab
HellQuartzdSlab,quartz_slab
DeathQuartzdSlab,quartz_slab
nQuartzdSlab,quartz_slab
hQuartzdSlab,quartz_slab
dQuartzdSlab,quartz_slab
QuartzdSlab,quartz_slab
nqdSlab,quartz_slab
hqdSlab,quartz_slab
dqdSlab,quartz_slab
qdSlab,quartz_slab
NetherQuartzdStep,quartz_slab
HellQuartzdStep,quartz_slab
DeathQuartzdStep,quartz_slab
nQuartzdStep,quartz_slab
hQuartzdStep,quartz_slab
dQuartzdStep,quartz_slab
QuartzdStep,quartz_slab
nqdStep,quartz_slab
hqdStep,quartz_slab
dqdStep,quartz_slab
qdStep,quartz_slab
NetherQuartzdHalfBlock,quartz_slab
HellQuartzdHalfBlock,quartz_slab
DeathQuartzdHalfBlock,quartz_slab
nQuartzdHalfBlock,quartz_slab
hQuartzdHalfBlock,quartz_slab
dQuartzdHalfBlock,quartz_slab
QuartzdHalfBlock,quartz_slab
nqdHalfBlock,quartz_slab
hqdHalfBlock,quartz_slab
dqdHalfBlock,quartz_slab
qdHalfBlock,quartz_slab
DoubleNetherQuartzSlab,quartz_slab
DoubleHellQuartzSlab,quartz_slab
DoubleDeathQuartzSlab,quartz_slab
DoublenQuartzSlab,quartz_slab
DoublehQuartzSlab,quartz_slab
DoubledQuartzSlab,quartz_slab
DoubleQuartzSlab,quartz_slab
DoublenqSlab,quartz_slab
DoublehqSlab,quartz_slab
DoubledqSlab,quartz_slab
DoubleqSlab,quartz_slab
DoubleNetherQuartzStep,quartz_slab
DoubleHellQuartzStep,quartz_slab
DoubleDeathQuartzStep,quartz_slab
DoublenQuartzStep,quartz_slab
DoublehQuartzStep,quartz_slab
DoubledQuartzStep,quartz_slab
DoubleQuartzStep,quartz_slab
DoublenqStep,quartz_slab
DoublehqStep,quartz_slab
DoubledqStep,quartz_slab
DoubleqStep,quartz_slab
DoubleNetherQuartzHalfBlock,quartz_slab
DoubleHellQuartzHalfBlock,quartz_slab
DoubleDeathQuartzHalfBlock,quartz_slab
DoublenQuartzHalfBlock,quartz_slab
DoublehQuartzHalfBlock,quartz_slab
DoubledQuartzHalfBlock,quartz_slab
DoubleQuartzHalfBlock,quartz_slab
DoublenqHalfBlock,quartz_slab
DoublehqHalfBlock,quartz_slab
DoubledqHalfBlock,quartz_slab
DoubleqHalfBlock,quartz_slab
dNetherQuartzSlab,quartz_slab
dHellQuartzSlab,quartz_slab
dDeathQuartzSlab,quartz_slab
dnQuartzSlab,quartz_slab
dhQuartzSlab,quartz_slab
ddQuartzSlab,quartz_slab
dnqSlab,quartz_slab
dhqSlab,quartz_slab
ddqSlab,quartz_slab
dNetherQuartzStep,quartz_slab
dHellQuartzStep,quartz_slab
dDeathQuartzStep,quartz_slab
dnQuartzStep,quartz_slab
dhQuartzStep,quartz_slab
ddQuartzStep,quartz_slab
dnqStep,quartz_slab
dhqStep,quartz_slab
ddqStep,quartz_slab
dNetherQuartzHalfBlock,quartz_slab
dHellQuartzHalfBlock,quartz_slab
dDeathQuartzHalfBlock,quartz_slab
dnQuartzHalfBlock,quartz_slab
dhQuartzHalfBlock,quartz_slab
ddQuartzHalfBlock,quartz_slab
dnqHalfBlock,quartz_slab
dhqHalfBlock,quartz_slab
ddqHalfBlock,quartz_slab
SmoothstoneDoubleSlab,stone_slab
SmoothstoneDoubleStep,stone_slab
SmoothstoneDoubleHalfBlock,stone_slab
SmoothstonedSlab,stone_slab
SmoothstonedStep,stone_slab
SmoothstonedHalfBlock,stone_slab
DoubleSmoothstoneSlab,stone_slab
DoubleSmoothstoneStep,stone_slab
DoubleSmoothstoneHalfBlock,stone_slab
dSmoothstoneSlab,stone_slab
dSmoothstoneStep,stone_slab
dSmoothstoneHalfBlock,stone_slab
SmoothSandstoneDoubleSlab,sandstone_slab
sSandstoneDoubleSlab,sandstone_slab
ssstoneDoubleSlab,sandstone_slab
sssDoubleSlab,sandstone_slab
SmoothSandstoneDoubleStep,sandstone_slab
sSandstoneDoubleStep,sandstone_slab
ssstoneDoubleStep,sandstone_slab
sssDoubleStep,sandstone_slab
SmoothSandstoneDoubleHalfBlock,sandstone_slab
sSandstoneDoubleHalfBlock,sandstone_slab
ssstoneDoubleHalfBlock,sandstone_slab
sssDoubleHalfBlock,sandstone_slab
SmoothSandstonedSlab,sandstone_slab
sSandstonedSlab,sandstone_slab
ssstonedSlab,sandstone_slab
sssdSlab,sandstone_slab
SmoothSandstonedStep,sandstone_slab
sSandstonedStep,sandstone_slab
ssstonedStep,sandstone_slab
sssdStep,sandstone_slab
SmoothSandstonedHalfBlock,sandstone_slab
sSandstonedHalfBlock,sandstone_slab
ssstonedHalfBlock,sandstone_slab
sssdHalfBlock,sandstone_slab
DoubleSmoothSandstoneSlab,sandstone_slab
DoublesSandstoneSlab,sandstone_slab
DoublessstoneSlab,sandstone_slab
DoublesssSlab,sandstone_slab
DoubleSmoothSandstoneStep,sandstone_slab
DoublesSandstoneStep,sandstone_slab
DoublessstoneStep,sandstone_slab
DoublesssStep,sandstone_slab
DoubleSmoothSandstoneHalfBlock,sandstone_slab
DoublesSandstoneHalfBlock,sandstone_slab
DoublessstoneHalfBlock,sandstone_slab
DoublesssHalfBlock,sandstone_slab
dSmoothSandstoneSlab,sandstone_slab
dsSandstoneSlab,sandstone_slab
dssstoneSlab,sandstone_slab
dsssSlab,sandstone_slab
dSmoothSandstoneStep,sandstone_slab
dsSandstoneStep,sandstone_slab
dssstoneStep,sandstone_slab
dsssStep,sandstone_slab
dSmoothSandstoneHalfBlock,sandstone_slab
dsSandstoneHalfBlock,sandstone_slab
dssstoneHalfBlock,sandstone_slab
dsssHalfBlock,sandstone_slab
SmoothstoneStep,stone_slab
StoneStep,stone_slab
sStep,stone_slab
Step,stone_slab
SmoothstoneSlab,stone_slab
StoneSlab,stone_slab
sSlab,stone_slab
Slab,stone_slab
SmoothstoneHalfBlock,stone_slab
StoneHalfBlock,stone_slab
sHalfBlock,stone_slab
HalfBlock,stone_slab
SandstoneStep,sandstone_slab
sstoneStep,sandstone_slab
ssStep,sandstone_slab
SandstoneSlab,sandstone_slab
sstoneSlab,sandstone_slab
ssSlab,sandstone_slab
SandstoneHalfBlock,sandstone_slab
sstoneHalfBlock,sandstone_slab
ssHalfBlock,sandstone_slab
WoodenstoneStep,petrified_oak_slab
woodstoneStep,petrified_oak_slab
wstoneStep,petrified_oak_slab
WoodenstoneSlab,petrified_oak_slab
woodstoneSlab,petrified_oak_slab
wstoneSlab,petrified_oak_slab
WoodenstoneHalfBlock,petrified_oak_slab
woodstoneHalfBlock,petrified_oak_slab
wstoneHalfBlock,petrified_oak_slab
CobblestoneStep,cobblestone_slab
CobbleStep,cobblestone_slab
cstoneStep,cobblestone_slab
csStep,cobblestone_slab
CobblestoneSlab,cobblestone_slab
CobbleSlab,cobblestone_slab
cstoneSlab,cobblestone_slab
csSlab,cobblestone_slab
CobblestoneHalfBlock,cobblestone_slab
CobbleHalfBlock,cobblestone_slab
cstoneHalfBlock,cobblestone_slab
csHalfBlock,cobblestone_slab
BrickStep,brick_slab
bStep,brick_slab
BrickSlab,brick_slab
bSlab,brick_slab
BrickHalfBlock,brick_slab
bHalfBlock,brick_slab
StoneBrickStep,stone_brick_slab
StonebStep,stone_brick_slab
sBrickStep,stone_brick_slab
sbStep,stone_brick_slab
StoneBrickSlab,stone_brick_slab
StonebSlab,stone_brick_slab
sBrickSlab,stone_brick_slab
sbSlab,stone_brick_slab
StoneBrickHalfBlock,stone_brick_slab
StonebHalfBlock,stone_brick_slab
sBrickHalfBlock,stone_brick_slab
sbHalfBlock,stone_brick_slab
NetherBrickSlab,nether_brick_slab
HellBrickSlab,nether_brick_slab
nBrickSlab,nether_brick_slab
hBrickSlab,nether_brick_slab
NetherSlab,nether_brick_slab
HellSlab,nether_brick_slab
nbSlab,nether_brick_slab
hbSlab,nether_brick_slab
hSlab,nether_brick_slab
nSlab,nether_brick_slab
NetherBrickStep,nether_brick_slab
HellBrickStep,nether_brick_slab
nBrickStep,nether_brick_slab
hBrickStep,nether_brick_slab
NetherStep,nether_brick_slab
HellStep,nether_brick_slab
nbStep,nether_brick_slab
hbStep,nether_brick_slab
nStep,nether_brick_slab
hStep,nether_brick_slab
NetherBrickHalfBlock,nether_brick_slab
HellBrickHalfBlock,nether_brick_slab
nBrickHalfBlock,nether_brick_slab
hBrickHalfBlock,nether_brick_slab
NetherHalfBlock,nether_brick_slab
HellHalfBlock,nether_brick_slab
nbHalfBlock,nether_brick_slab
hbHalfBlock,nether_brick_slab
nHalfBlock,nether_brick_slab
hHalfBlock,nether_brick_slab
NetherQuartzStep,quartz_slab
HellQuartzStep,quartz_slab
DeathQuartzStep,quartz_slab
nQuartzStep,quartz_slab
hQuartzStep,quartz_slab
dQuartzStep,quartz_slab
QuartzStep,quartz_slab
nqStep,quartz_slab
hqStep,quartz_slab
dqStep,quartz_slab
qStep,quartz_slab
NetherQuartzSlab,quartz_slab
HellQuartzSlab,quartz_slab
DeathQuartzSlab,quartz_slab
nQuartzSlab,quartz_slab
hQuartzSlab,quartz_slab
dQuartzSlab,quartz_slab
QuartzSlab,quartz_slab
nqSlab,quartz_slab
hqSlab,quartz_slab
dqSlab,quartz_slab
qSlab,quartz_slab
NetherQuartzHalfBlock,quartz_slab
HellQuartzHalfBlock,quartz_slab
DeathQuartzHalfBlock,quartz_slab
nQuartzHalfBlock,quartz_slab
hQuartzHalfBlock,quartz_slab
dQuartzHalfBlock,quartz_slab
QuartzHalfBlock,quartz_slab
nqHalfBlock,quartz_slab
hqHalfBlock,quartz_slab
dqHalfBlock,quartz_slab
qHalfBlock,quartz_slab
BrickBlock,bricks
BlockBrick,bricks
bBlock,bricks
Blockb,bricks
TNT,tnt
TNTBlock,tnt
BlockTNT,tnt
BombBlock,tnt
BlockBomb,tnt
DynamiteBlock,tnt
BlockDynamite,tnt
Bomb,tnt
Dynamite,tnt
Bookcase,bookshelf
casebook,bookshelf
Bookshelf,bookshelf
ShelfBook,bookshelf
BookBlock,bookshelf
Blockbook,bookshelf
MossyCobblestone,mossy_cobblestone
mossCobblestone,mossy_cobblestone
mCobblestone,mossy_cobblestone
MossyCobble,mossy_cobblestone
mossCobble,mossy_cobblestone
mCobble,mossy_cobblestone
mossstone,mossy_cobblestone
Mossystone,mossy_cobblestone
mstone,mossy_cobblestone
obsidian,obsidian
obsi,obsidian
obby,obsidian
torch,torch
burningstick,torch
burnstick,torch
fire,fire
flame,fire
flames,fire
mobspawner,spawner
mobcage,spawner
monsterspawner,spawner
monstercage,spawner
mspawner,spawner
mcage,spawner
spawner,spawner
cage,spawner
Woodenstairs,oak_stairs
woodstairs,oak_stairs
wstairs,oak_stairs
Woodenstair,oak_stairs
woodstair,oak_stairs
wstair,oak_stairs
Chest,chest
container,chest
DiamondOre,diamond_ore
CrystalOre,diamond_ore
oreDiamond,diamond_ore
oreCrystal,diamond_ore
dore,diamond_ore
oRed,diamond_ore
DiamondBlock,diamond_block
BlockDiamond,diamond_block
CrystalBlock,diamond_block
BlockCrystal,diamond_block
dBlock,diamond_block
Blockd,diamond_block
Workbench,crafting_table
craftingbench,crafting_table
crafterbench,crafting_table
craftbench,crafting_table
worktable,crafting_table
craftingtable,crafting_table
craftertable,crafting_table
crafttable,crafting_table
wbench,crafting_table
cbench,crafting_table
soil,farmland
Furnace,furnace
litFurnace,furnace
lFurnace,furnace
burningFurnace,furnace
burnFurnace,furnace
bFurnace,furnace
ladder,ladder
MinecartTrack,rail
MinecartRails,rail
MinecartRail,rail
mcartTrack,rail
mcartRails,rail
mcartRail,rail
mcTrack,rail
mcRails,rail
mcRail,rail
Track,rail
Rails,rail
Rail,rail
Cobblestonestairs,cobblestone_stairs
cstonestairs,cobblestone_stairs
Stonestairs,cobblestone_stairs
Cobblestairs,cobblestone_stairs
csstairs,cobblestone_stairs
sstairs,cobblestone_stairs
cstairs,cobblestone_stairs
Cobblestonestair,cobblestone_stairs
cstonestair,cobblestone_stairs
Stonestair,cobblestone_stairs
Cobblestair,cobblestone_stairs
csstair,cobblestone_stairs
sstair,cobblestone_stairs
cstair,cobblestone_stairs
lever,lever
StonepressurePlate,stone_pressure_plate
